ID,Longitude,Latitude,Processor,Address,SupplierName
Oceania1,171.076691,-44.868839,Oceania,"63 McNaughtons Rd, Morven",
Oceania2,171.104389,-44.872661,Oceania,"109 Archibald Rd, Morven",
Oceania3,171.095994,-44.851153,Oceania,"117 Crowes Rd, Morven",
Oceania4,171.113465,-44.861777,Oceania,"631 Morven Glenavy Rd, Morven",
Oceania5,171.121571,-44.870373,Oceania,"247 Archibald Rd, Morven",
Oceania6,171.113711,-44.856264,Oceania,"592 Morven Glenavy Rd, Morven",
Oceania7,171.076691,-44.868839,Oceania,"63 McNaughtons Rd, Morven",
Oceania8,171.044987,-44.85625,Oceania,"163 Dog Kennel Rd, Morven",
Oceania10,171.080001,-44.826727,Oceania,"3860 State Hwy 1, Morven",
Oceania12,171.105114,-44.821126,Oceania,"139 Barnetts Rd, Morven",
Oceania15,171.162638,-44.812954,Oceania,"286 Ryans Rd, Morven",
Oceania18,171.062647,-44.907825,Oceania,"312 Glenavy - Tawai Rd, Glenavy",
Oceania20,171.019461,-44.893304,Oceania,"65 Tawai - Ikawai Rd, Glenavy",
Oceania22,171.002078,-44.88876,Oceania,"90 Tawai - Ikawai Rd, Glenavy",
Oceania24,170.959855,-44.858507,Oceania,"1094 Pikes Point Rd, Ikawai",
Oceania28,170.961446,-44.842053,Oceania,"709 Mt Harris Rd, Ikawai",
Oceania35,170.821918,-44.868445,Oceania,"2680 State Hwy 82, Ikawai",
Oceania40,170.805932,-44.86885,Oceania,"2932 State Hwy 82, Ikawai",
Oceania50,171.05476,-44.935199,Oceania,"343 McPhersons Rd, Papakio",
Oceania51,171.05476,-44.935199,Oceania,"344 McPhersons Rd, Papakio",
Oceania55,171.061213,-45.004512,Oceania,"251 Corbett Rd, Hilderthorpe",
Oceania57,170.985116,-44.989597,Oceania,"130 Camerons Rd, Papakio",
Oceania70,170.926423,-44.942854,Oceania,"179 Jardine Rd, Pebbles",
Oceania80,170.754194,-44.877691,Oceania,"2802 Duntroon - Georgetown Rd, Duntroon",
Oceania82,170.732781,-44.871528,Oceania,"3012 Duntroon - Georgetown Rd, Duntroon",
Oceania85,170.729181,-44.881187,Oceania,"525 Settlement Rd, Kokoamo",
Oceania90,170.584271,-44.82848,Oceania,"Cnr SH83 and Eastern Rd, Otekaieke",
Oceania91,170.543415,-44.860677,Oceania,"640 Eastern Rd, Otekaieke",
Oceania100,170.843799,-45.173222,Oceania,"50 All Day Bay Rd, Maheno",
Oceania105,170.831683,-45.139846,Oceania,"141 Round Hill Rd, Reidston",
Oceania106,170.816575,-45.161319,Oceania,"190 Island Stream Rd, Maheno",
Oceania108,170.799325,-45.16104,Oceania,"70 Buzan Rd, Maheno",
Oceania110,170.800357,-45.197773,Oceania,"157 Irvine Rd, Herbert",
Oceania115,170.863374,-45.095679,Oceania,"95 McArthur Rd, Kia Ora",
Oceania120,170.8984,-44.981516,Oceania,"106 McLeod Rd, Weston",
Oceania121,170.834566,-44.935535,Oceania,"414 Glen settlement Rd, Duntroon",
Oceania123,170.697922,-44.979937,Oceania,"384 Conlans Rd, Island Cliff",
Oceania125,170.693616,-44.93895,Oceania,"596 Tokorahi - Ngapara Rd, Ngapara",
Oceania130,170.748304,-44.900505,Oceania,"667 Smillies Rd, Duntroon",
Oceania131,170.712838,-44.900712,Oceania,"945 Smillies Rd, Duntroon",
Oceania140,170.839501,-45.258332,Oceania,"232 Settlement Rd, Waianakarua",
Oceania151,171.069878,-44.778879,Oceania,"100 Wains Crossing Rd, Waimate",
Oceania152,171.048602,-44.767273,Oceania,"170 Uretane rd, Waimate",
Oceania154,170.932196,-44.779395,Oceania,"55 Stoney Creek Rd, Waihao Downs",
Oceania155,170.897826,-44.76153,Oceania,"285 Waihaourunga Rd, Waihaourunga",
Oceania158,170.869958,-44.740645,Oceania,"295 Allanholme Rd, Waihaourunga",
Oceania162,170.994288,-44.721161,Oceania,"758 Parkers Bush Rd, Waimate",
Oceania164,171.080903,-44.692738,Oceania,"181 Rattrays Rd, Waimate",
Oceania170,170.994943,-44.665931,Oceania,"272 Upper Hook Rd, Hunter",
Oceania171,170.98799,-44.666704,Oceania,"Linnfield Rd, Hunter",
Oceania175,170.996681,-44.658246,Oceania,"Creasers Rd, Hunter",
Oceania178,170.995375,-44.644885,Oceania,"Triangle Rd, Hunter",
Oceania180,171.066561,-44.628707,Oceania,"431 Sherwood Rd, Makikihi",
Oceania181,171.063302,-44.624785,Oceania,"49 Gibsons Rd, Makikihi",
Oceania185,171.127077,-44.592614,Oceania,"180 Horseshoe Bend Rd, Otaio",
Oceania186,171.099684,-44.597416,Oceania,"128 Thomsons Rd, Otaio",
Oceania188,171.02702,-44.592069,Oceania,"220 Daledew Rd, Hunter",
Oceania189,171.010752,-44.596425,Oceania,"3990 Backline Rd, Hunter",
Oceania190,171.139037,-44.568322,Oceania,"297 Springbank Rd, Otaio",
Oceania191,171.118086,-44.563209,Oceania,"484 Springbank Rd, Otaio",
Oceania195,171.005846,-44.514854,Oceania,"40 Hendrys Rd, Otaio",
Oceania210,171.169502,-44.472782,Oceania,"Pooke rd, Pareora",
Oceania215,171.200773,-44.442424,Oceania,"76 Daniels Rd, Kingsdown",
Oceania225,171.142374,-44.439942,Oceania,"76 Chapel Rd, Beaconsfield",
Tatua1,175.55983,-37.64827,Tatua,45 Roache Road,
Tatua2,175.576646,-37.678531,Tatua,321 Kereone Road,
Tatua4,175.621644,-37.586359,Tatua,224 No. 1 Road,
